Fiyat,Yıl,Kilometre,Vites Tipi,Yakıt Tipi,Renk
800000.0,2022,69000,Duz,Benzin,Beyaz
915000.0,2023,6700,Duz,Benzin,Mavi (metalik)
615000.0,2019,76000,Duz,Benzin,Kırmızı
643000.0,2020,61000,Duz,Benzin,Beyaz
720000.0,2021,57000,Duz,Benzin,Beyaz
605000.0,2016,156000,Duz,Dizel,Beyaz
899000.0,2023,19500,Duz,LPG & Benzin,Kırmızı
670000.0,2020,108000,Duz,Dizel,Beyaz
695000.0,2020,90000,Duz,Dizel,Beyaz
650000.0,2018,174000,Duz,Dizel,Beyaz
750000.0,2023,19000,Duz,LPG & Benzin,Mavi (metalik)
700000.0,2018,97000,Duz,Dizel,Beyaz
735000.0,2022,51000,Duz,LPG & Benzin,Füme
785000.0,2017,202000,Yari Otomatik,Dizel,Beyaz
579000.0,2017,74000,Duz,LPG & Benzin,Beyaz
825000.0,2021,54000,Duz,Dizel,Beyaz
895000.0,2023,6001,Duz,Benzin,Mavi (metalik)
660000.0,2020,129000,Duz,Dizel,Gri (Gümüş)
1350000.0,2023,21000,Otomatik,Dizel,Kırmızı
725000.0,2016,128000,Duz,Dizel,Beyaz
760000.0,2016,123000,Yari Otomatik,Dizel,Kırmızı
825750.0,2023,50250,Duz,Dizel,Beyaz
695000.0,2022,62000,Duz,Benzin,Beyaz
1220000.0,2022,25000,Otomatik,Hibrit,Gri (Gümüş)
765000.0,2022,60000,Duz,Dizel,Beyaz
750000.0,2020,29000,Duz,Benzin,Beyaz
760000.0,2021,24000,Duz,Benzin,Mavi (metalik)
810000.0,2020,74500,Duz,Benzin,Füme
840000.0,2023,24400,Duz,Benzin,Turuncu
645000.0,2015,117000,Duz,Dizel,Beyaz
680000.0,2020,65000,Duz,LPG & Benzin,Kırmızı
650000.0,2018,152000,Duz,Dizel,Beyaz
585900.0,2017,234000,Duz,Dizel,Beyaz
595000.0,2021,209000,Duz,Benzin,Mavi (metalik)
729000.0,2020,84500,Duz,Dizel,Beyaz
775000.0,2022,30000,Duz,Benzin,Mavi
965000.0,2022,48000,Otomatik,Dizel,Beyaz
657500.0,2018,127500,Duz,Dizel,Füme
650000.0,2017,196000,Yari Otomatik,Dizel,Beyaz
747500.0,2021,102000,Duz,Dizel,Beyaz
650000.0,2021,103000,Duz,Dizel,Beyaz
830000.0,2023,41000,Duz,Benzin,Gri
717000.0,2022,62203,Duz,Dizel,Beyaz
800000.0,2023,27000,Duz,Benzin,Beyaz
859000.0,2022,54000,Otomatik,Dizel,Beyaz
685000.0,2021,82000,Duz,Benzin,Beyaz
785000.0,2019,97000,Duz,Dizel,Beyaz
599999.0,2016,173000,Duz,Dizel,Beyaz
813000.0,2021,62000,Duz,Benzin,Mavi
689000.0,2020,112850,Duz,Dizel,Beyaz
765000.0,2021,60000,Duz,LPG & Benzin,Beyaz
705000.0,2021,90000,Duz,Benzin,Beyaz
745000.0,2023,20000,Duz,Benzin,Gri
639000.0,2016,104500,Duz,Benzin,Beyaz
765000.0,2019,170000,Duz,Dizel,Beyaz
845000.0,2021,58000,Duz,Benzin,Mavi (metalik)
714900.0,2018,155000,Otomatik,Dizel,Beyaz
712500.0,2021,80000,Duz,LPG & Benzin,Beyaz
659750.0,2019,177000,Otomatik,Dizel,Beyaz
665000.0,2022,90000,Duz,Benzin,Beyaz
735000.0,2020,111475,Yari Otomatik,Dizel,Beyaz
660000.0,2021,153000,Duz,Dizel,Beyaz
639999.0,2018,234000,Duz,Dizel,Beyaz
459900.0,2019,120000,Duz,Benzin,Beyaz
669000.0,2020,139000,Duz,Dizel,Beyaz
720000.0,2021,61000,Duz,Benzin,Beyaz
727500.0,2018,118000,Duz,Dizel,Beyaz
805750.0,2022,81450,Duz,Dizel,Beyaz
655000.0,2017,129689,Duz,Dizel,Beyaz
510000.0,2017,186000,Duz,Dizel,Beyaz
793000.0,2022,49490,Duz,Dizel,Beyaz
730000.0,2020,41000,Duz,Benzin,Beyaz
720000.0,2020,163000,Yari Otomatik,Dizel,Beyaz
699999.0,2018,26000,Duz,Benzin,Beyaz
679000.0,2020,180000,Otomatik,Dizel,Beyaz
832750.0,2021,56000,Duz,Benzin,Turuncu
642900.0,2020,80000,Duz,Benzin,Beyaz
890000.0,2023,28300,Duz,Dizel,Gri
735000.0,2020,123775,Yari Otomatik,Dizel,Beyaz
685000.0,2017,158838,Yari Otomatik,Dizel,Beyaz
1269000.0,2024,8584,Yari Otomatik,Dizel,Beyaz
779750.0,2022,60000,Duz,Dizel,Beyaz
775000.0,2017,106700,Otomatik,Benzin,Beyaz
1035000.0,2022,73499,Otomatik,Dizel,Turuncu
700000.0,2022,46000,Duz,Benzin,Beyaz
