Fiyat,Yıl,Kilometre,Vites Tipi,Yakıt Tipi,Renk
510000,2009,145000,Duz,Benzin,Kırmızı
555000,2012,132000,Duz,Dizel,Gri (Gümüş)
368000,2005,294000,Duz,LPG & Benzin,Gri
522000,2013,196000,Duz,Dizel,Beyaz
565000,2016,167500,Duz,Dizel,Beyaz
390000,2006,183000,Duz,LPG & Benzin,Beyaz
735000,2022,37000,Duz,Benzin,Beyaz
915000,2022,8960,Otomatik,Benzin,Beyaz
255000,2003,286000,Duz,Dizel,Kırmızı
800000,2020,155000,Otomatik,Benzin,Beyaz
330000,2006,294000,Duz,LPG & Benzin,Gri (Gümüş)
358000,2005,277000,Duz,LPG & Benzin,Beyaz
280000,1998,297000,Duz,LPG & Benzin,Kırmızı
780000,2021,104000,Duz,LPG & Benzin,Beyaz
330000,2004,118000,Duz,LPG & Benzin,Beyaz
690000,2018,110000,Duz,Dizel,Beyaz
785000,2020,32000,Duz,Benzin,Gri (titanyum)
510000,2013,206000,Duz,LPG & Benzin,Beyaz
390000,2006,220000,Duz,LPG & Benzin,Gri
485000,2008,110000,Yari Otomatik,Benzin,Gri
370000,2007,176000,Duz,Dizel,Gri (Gümüş)
525000,2013,174000,Duz,LPG & Benzin,Kırmızı
729000,2018,84300,Duz,Dizel,Beyaz
465000,2013,201000,Duz,LPG & Benzin,Kırmızı
545000,2016,190350,Duz,Dizel,Beyaz
600000,2011,11000,Duz,Benzin,Bordo
545000,2016,380000,Duz,Dizel,Beyaz
350000,2008,329000,Duz,Dizel,Gri (titanyum)
530000,2011,203000,Duz,Dizel,Gri
450000,2004,126000,Duz,Dizel,Gri (Gümüş)
795000,2018,129000,Yari Otomatik,Dizel,Beyaz
420000,2009,226000,Duz,Dizel,Gri
260000,2001,325000,Duz,Benzin,Gri
649750,2020,149000,Duz,Benzin,Kırmızı
400000,2010,260300,Duz,Dizel,Gri (Gümüş)
386900,2011,211531,Duz,Dizel,Gri (Gümüş)
815000,2018,133500,Yari Otomatik,Dizel,Beyaz
789000,2020,114000,Otomatik,Benzin,Beyaz
350000,2000,181000,Duz,Benzin,Mavi
926900,2022,49000,Otomatik,Benzin,Füme
960000,2020,63500,Otomatik,Benzin,Mavi (metalik)
730000,2017,180000,Yari Otomatik,Dizel,Beyaz
620000,2013,144000,Duz,Benzin,Siyah
600000,2013,105000,Duz,Benzin,Siyah
555000,2020,155000,Duz,Benzin,Beyaz
370000,2002,285000,Duz,Benzin,Gri (Gümüş)
1160000,2020,43000,Yari Otomatik,Benzin,Mavi
345000,2005,262000,Duz,Dizel,Beyaz
350000,2006,295000,Duz,LPG & Benzin,Gri
320000,2001,265000,Duz,LPG & Benzin,Gri
485000,2013,190000,Duz,Dizel,Beyaz
348000,2003,240000,Duz,Dizel,Lacivert
250000,2003,342000,Duz,Dizel,Gri
355500,2004,142300,Duz,LPG & Benzin,Bordo
265000,2000,301000,Duz,LPG & Benzin,Gri (Gümüş)
793000,2018,189500,Yari Otomatik,Dizel,Beyaz
675000,2020,36000,Duz,Benzin,Mavi
670000,2020,87000,Duz,Benzin,Beyaz
325000,2004,267000,Duz,LPG & Benzin,Gri
335000,2002,327300,Duz,LPG & Benzin,Kırmızı
580000,2017,147000,Duz,Dizel,Beyaz
355000,2004,211000,Duz,Dizel,Gri (Gümüş)
1079000,2023,6001,Otomatik,Benzin,Mavi (metalik)
369000,2001,169000,Otomatik,Benzin,Gri
965000,2020,36800,Otomatik,Benzin,Beyaz
785000,2015,150000,Yari Otomatik,Dizel,Kırmızı
560000,2016,146000,Duz,Dizel,Beyaz
590000,2017,180000,Duz,Dizel,Beyaz
600000,2020,56000,Duz,Benzin,Beyaz
380000,2007,193700,Duz,Dizel,Gri (metalik)
334000,2001,264000,Duz,LPG & Benzin,Kırmızı
360000,2010,290000,Duz,Dizel,Siyah
720000,2019,90700,Duz,Benzin,Beyaz
735000,2019,49000,Duz,Benzin,Füme
659750,2019,148707,Duz,Dizel,Beyaz
235000,2005,223000,Duz,Dizel,Gri
940000,2021,49760,Otomatik,Benzin,Beyaz
740000,2014,129300,Duz,Dizel,Kırmızı
1260000,2024,6001,Otomatik,Benzin,Lacivert
310000,2006,281000,Duz,Dizel,Bej
850000,2017,179600,Yari Otomatik,Dizel,Beyaz
315000,2007,205000,Duz,Dizel,Gri
690000,2014,156000,Duz,Dizel,Beyaz
569500,2014,245000,Duz,Dizel,Beyaz
645000,2015,131000,Duz,Dizel,Beyaz
499999,2012,244000,Duz,Dizel,Siyah
270000,2004,247000,Duz,Dizel,Beyaz
775000,2013,133000,Yari Otomatik,Benzin,Kırmızı
465000,2011,199500,Duz,Dizel,Gri (metalik)
560000,2011,160000,Otomatik,LPG & Benzin,Beyaz
685000,2014,139000,Duz,Dizel,Beyaz
350000,2005,128000,Duz,LPG & Benzin,Beyaz
475000,2007,255000,Otomatik,LPG & Benzin,Gri
740000,2020,43000,Duz,Benzin,Kırmızı
885000,2018,125000,Yari Otomatik,Dizel,Beyaz
720000,2014,110000,Yari Otomatik,Dizel,Kırmızı
960000,2021,10900,Otomatik,Benzin,Turuncu
450000,2008,143000,Duz,Benzin,Gri
940000,2021,54000,Otomatik,Benzin,Turuncu
900000,2016,67000,Duz,Benzin,Bordo
790000,2020,160000,Otomatik,Benzin,Beyaz
670000,2015,152000,Duz,Dizel,Kırmızı
570000,2016,183600,Duz,Dizel,Beyaz
685000,2014,186000,Duz,Dizel,Kırmızı
305000,2001,355000,Duz,LPG & Benzin,Kırmızı
350000,2003,285000,Duz,Dizel,Beyaz
1145000,2024,6001,Otomatik,Benzin,Gri (metalik)
477000,2014,163000,Duz,Dizel,Beyaz
650000,2017,140000,Duz,Dizel,Beyaz
805000,2022,96000,Otomatik,Benzin,Beyaz
300000,2007,296650,Duz,Dizel,Beyaz
612000,2015,93200,Duz,Benzin,Beyaz
735000,2020,143000,Otomatik,Benzin,Füme
542000,2017,250000,Otomatik,Dizel,Beyaz
380000,2009,226000,Duz,Dizel,Gri (Gümüş)
340000,2002,169500,Duz,Benzin,Beyaz
809000,2017,80700,Duz,Dizel,Beyaz
315000,2006,185000,Duz,Dizel,Beyaz
425000,2006,88000,Yari Otomatik,Benzin,Gri
680000,2018,138000,Duz,Dizel,Beyaz
850000,2014,45500,Yari Otomatik,Dizel,Beyaz
655000,2018,145000,Duz,Dizel,Beyaz
340000,2006,234000,Duz,Dizel,Gri (Gümüş)
453000,2017,212000,Duz,Dizel,Beyaz
720000,2023,24000,Duz,Benzin,Beyaz
720000,2015,185000,Yari Otomatik,Dizel,Beyaz
370000,2011,229600,Duz,Dizel,Kırmızı
300000,2004,272000,Duz,Benzin,Sarı
850000,2023,21000,Duz,Benzin,Beyaz
600000,2015,121000,Duz,Benzin,Beyaz
315000,2001,252500,Duz,LPG & Benzin,Beyaz
560000,2016,160000,Duz,Dizel,Beyaz
360000,2008,216100,Duz,Benzin,Gri (Gümüş)
320000,2005,260000,Duz,LPG & Benzin,Yeşil (metalik)
330000,2004,322000,Duz,LPG & Benzin,Gri
448000,2008,202500,Duz,Dizel,Gri (titanyum)
305000,2001,305000,Duz,LPG & Benzin,Gri
570000,2013,76000,Duz,Benzin,Beyaz
290000,2002,308000,Duz,Dizel,Gri (Gümüş)
460000,2006,121000,Duz,LPG & Benzin,Beyaz
290000,2004,275000,Duz,LPG & Benzin,Gri (Gümüş)
345000,2005,273500,Duz,Dizel,Beyaz
510000,2015,253000,Duz,Dizel,Kırmızı
447000,2008,202500,Duz,Dizel,Gri (titanyum)
990000,2021,37000,Otomatik,Benzin,Kırmızı
345000,2005,265000,Duz,Dizel,Beyaz
675000,2020,60000,Duz,Benzin,Beyaz
979500,2022,7500,Otomatik,Benzin,Beyaz
350000,2004,174000,Duz,LPG & Benzin,Gri
350000,2001,260000,Duz,LPG & Benzin,Beyaz
535000,2012,187000,Duz,Benzin,Beyaz
1060000,2024,40620,Otomatik,Benzin,Beyaz
1180000,2024,7000,Otomatik,Benzin,Kırmızı
289000,2000,302000,Duz,LPG & Benzin,Kırmızı
720000,2022,30500,Duz,Benzin,Beyaz
795000,2018,136000,Otomatik,Dizel,Beyaz
335000,2007,227000,Duz,Dizel,Beyaz
335000,2005,262000,Duz,Dizel,Beyaz
615000,2020,110000,Duz,Benzin,Beyaz
385000,2006,125000,Duz,Benzin,Gri (Gümüş)
710000,2019,31300,Duz,Benzin,Kırmızı
345000,2004,192000,Duz,Benzin,Mavi (metalik)
565000,2016,167500,Duz,Dizel,Beyaz
300000,2000,195000,Duz,Benzin,Gri (Gümüş)
295000,2001,282000,Duz,LPG & Benzin,Lacivert
520000,2011,168300,Duz,Dizel,Gri (Gümüş)
599000,2012,77500,Duz,Benzin,Beyaz
305000,2001,286000,Duz,LPG & Benzin,Mor
1010000,2024,6000,Otomatik,Benzin,Mavi (metalik)
590000,2015,142000,Duz,Dizel,Beyaz
675000,2021,27000,Duz,Benzin,Beyaz
440000,2013,256000,Duz,Dizel,Beyaz
555000,2016,213000,Duz,Dizel,Beyaz
829000,2017,106000,Otomatik,Dizel,Beyaz
560000,2015,285000,Duz,Dizel,Beyaz
1070000,2024,12000,Otomatik,Benzin,Beyaz
300000,2000,247000,Otomatik,LPG & Benzin,Gri
535000,2012,186000,Duz,Benzin,Kırmızı
929900,2021,56100,Otomatik,Benzin,Gri
769000,2017,178000,Yari Otomatik,Dizel,Beyaz
349000,2005,227500,Duz,LPG & Benzin,Beyaz
685000,2023,60000,Duz,Benzin,Beyaz
429750,2014,320000,Duz,Dizel,Beyaz
569500,2014,97000,Duz,Benzin,Kırmızı
355000,2006,215000,Duz,Dizel,Gri (Gümüş)
959750,2022,25000,Otomatik,Benzin,Kırmızı
729900,2019,41792,Duz,Benzin,Beyaz
895000,2022,74329,Otomatik,Benzin,Kırmızı
559000,2014,205000,Duz,Dizel,Kırmızı
550000,2014,220000,Duz,Dizel,Beyaz
575000,2012,180000,Otomatik,Dizel,Beyaz
330000,2001,271000,Duz,LPG & Benzin,Gri (Gümüş)
595000,2015,111000,Duz,Benzin,Kırmızı
575000,2014,70000,Duz,Benzin,Kırmızı
585000,2015,175000,Duz,LPG & Benzin,Kırmızı
1145000,2024,700,Otomatik,Benzin,Siyah
658000,2021,58000,Duz,Benzin,Beyaz
210000,2002,352000,Duz,LPG & Benzin,Mavi
799000,2021,102000,Otomatik,Benzin,Beyaz
761000,2018,186000,Otomatik,Dizel,Beyaz
599000,2017,211000,Duz,Dizel,Beyaz
515000,2015,356000,Duz,Dizel,Beyaz
715000,2017,200000,Yari Otomatik,Dizel,Beyaz
389000,2011,212000,Duz,Dizel,Gri
779750,2023,52000,Duz,Benzin,Beyaz
595000,2018,150000,Duz,Dizel,Beyaz
958500,2022,12000,Otomatik,Benzin,Lacivert
739900,2021,72350,Duz,Benzin,Beyaz
1170000,2024,20000,Otomatik,Benzin,Gri
689000,2023,44000,Duz,Benzin,Beyaz
969000,2020,45000,Otomatik,Benzin,Turuncu
310000,2001,155000,Duz,LPG & Benzin,Gri
799000,2020,175000,Otomatik,Benzin,Beyaz
865000,2022,65000,Otomatik,Benzin,Beyaz
495000,2015,175000,Duz,Dizel,Beyaz
575000,2015,38000,Duz,LPG & Benzin,Beyaz
330000,2003,213000,Duz,Dizel,Beyaz
410000,2008,178000,Duz,LPG & Benzin,Beyaz
766500,2014,110889,Yari Otomatik,Benzin,Kırmızı
295000,2005,290000,Duz,Dizel,Beyaz
825000,2022,103300,Otomatik,Benzin,Kırmızı
635000,2015,170500,Duz,Dizel,Beyaz
375000,2007,175000,Duz,Dizel,Gri (Gümüş)
1019000,2024,19990,Otomatik,Benzin,Füme
1134000,2023,15000,Otomatik,Benzin,Mavi
345000,2001,249000,Duz,LPG & Benzin,Bordo
530000,2011,120000,Duz,Dizel,Gri
510000,2013,162000,Duz,LPG & Benzin,Kırmızı
880000,2021,72463,Otomatik,Benzin,Beyaz
425000,2010,70000,Yari Otomatik,Benzin,Gri
310000,2001,280000,Duz,LPG & Benzin,Beyaz
575000,2011,118770,Otomatik,LPG & Benzin,Gri
735000,2020,67000,Duz,Benzin,Beyaz
925000,2021,66000,Otomatik,Benzin,Beyaz
310000,2000,265000,Duz,LPG & Benzin,Gri (metalik)
355000,2007,358000,Duz,Dizel,Gri (Gümüş)
789000,2014,140000,Yari Otomatik,Dizel,Kırmızı
270000,2004,218000,Duz,LPG & Benzin,Beyaz
487000,2018,113000,Duz,Dizel,Beyaz
830000,2023,26000,Duz,Benzin,Lacivert
310000,2000,227000,Duz,LPG & Benzin,Beyaz
750000,2021,48000,Duz,LPG & Benzin,Beyaz
883600,2019,110000,Otomatik,Dizel,Beyaz
535000,2015,151500,Duz,Dizel,Beyaz
465000,2014,242000,Duz,Dizel,Beyaz
320000,2000,265000,Duz,LPG & Benzin,Gri
500000,2014,217000,Duz,Dizel,Beyaz
535000,2014,136000,Otomatik,Dizel,Beyaz
310000,2005,218000,Duz,LPG & Benzin,Kırmızı
475000,2013,275000,Yari Otomatik,Dizel,Beyaz
344500,2008,239500,Duz,LPG & Benzin,Gri (Gümüş)
355000,2006,220000,Duz,Benzin,Gri (Gümüş)
615000,2015,114000,Duz,LPG & Benzin,Siyah
950000,2022,63000,Otomatik,Benzin,Gri
320000,2004,320000,Duz,Dizel,Beyaz
475000,2009,126500,Yari Otomatik,LPG & Benzin,Gri
600000,2018,188000,Duz,Dizel,Beyaz
825000,2019,149000,Otomatik,Dizel,Beyaz
245000,2006,440000,Duz,Dizel,Kırmızı
300000,2005,273000,Duz,Dizel,Gri
332000,1999,232000,Otomatik,LPG & Benzin,Yeşil (metalik)
425000,2008,170000,Duz,LPG & Benzin,Gri
655000,2020,115000,Duz,Benzin,Beyaz
410000,2002,152000,Duz,Benzin,Gri
580000,2013,120000,Duz,Benzin,Kırmızı
680000,2022,101000,Duz,Benzin,Kırmızı
645000,2021,78000,Duz,Benzin,Beyaz
660000,2022,103000,Duz,Benzin,Gri
892000,2021,80000,Otomatik,Benzin,Beyaz
619999,2017,164000,Duz,Dizel,Beyaz
319999,1999,263000,Duz,LPG & Benzin,Gri (Gümüş)
380000,2004,146500,Duz,Benzin,Gri
440000,2005,204000,Duz,LPG & Benzin,Beyaz
620000,2018,177000,Duz,Dizel,Beyaz
855000,2021,93000,Otomatik,Benzin,Beyaz
595000,2017,210000,Duz,Dizel,Beyaz
551000,2017,210000,Duz,Dizel,Gri
665000,2016,130000,Duz,Dizel,Beyaz
1225000,2024,6500,Otomatik,Benzin,Mavi
519500,2014,249000,Duz,Dizel,Beyaz
425000,2006,155000,Duz,LPG & Benzin,Gri (Gümüş)
490000,2013,158000,Duz,Benzin,Kırmızı
1225000,2024,6100,Otomatik,Benzin,Gri
455000,2016,270000,Duz,Dizel,Beyaz
829000,2018,88000,Otomatik,Dizel,Beyaz
420058,2005,91000,Duz,Dizel,Gri
300000,2006,257000,Duz,Benzin,Gri
365000,2005,270000,Duz,LPG & Benzin,Gri (Gümüş)
610000,2013,146000,Duz,Dizel,Kırmızı
280000,2005,273000,Duz,Benzin,Yeşil
350000,2005,283000,Duz,Dizel,Siyah
629500,2012,198500,Duz,Dizel,Beyaz
200000,1997,160000,Duz,LPG & Benzin,Mavi
445000,2007,133000,Duz,LPG & Benzin,Beyaz
525000,2017,176000,Duz,Dizel,Beyaz
515000,2015,200000,Duz,Benzin,Kırmızı
395000,2005,196800,Duz,LPG & Benzin,Beyaz
1225000,2024,6200,Otomatik,Benzin,Turuncu
606000,2016,168500,Duz,Dizel,Beyaz
292500,2007,400000,Duz,Dizel,Siyah
385000,2007,234500,Duz,Dizel,Gri
620000,2015,110000,Duz,Dizel,Siyah
595000,2015,98900,Duz,Benzin,Beyaz
330000,2007,206000,Duz,Dizel,Gri (Gümüş)
355000,2004,205725,Duz,Benzin,Gri (Gümüş)
275000,1999,300000,Duz,LPG & Benzin,Sarı
279900,2000,210000,Duz,LPG & Benzin,Kırmızı
680000,2014,105000,Duz,Dizel,Kırmızı
864000,2021,39000,Otomatik,Benzin,Mavi
565000,2018,203000,Duz,Dizel,Beyaz
720000,2016,140000,Yari Otomatik,Dizel,Beyaz
585000,2014,222000,Duz,Dizel,Beyaz
310000,2009,340000,Duz,Dizel,Kahverengi
550000,2010,105887,Duz,Dizel,Gri
565000,2011,124000,Duz,Dizel,Gri
310000,2003,269150,Duz,Dizel,Beyaz
360000,2005,254500,Duz,LPG & Benzin,Bordo
300000,2006,290000,Duz,Dizel,Gri (Gümüş)
1125000,2023,6001,Otomatik,Benzin,Mavi (metalik)
320000,2007,193000,Duz,Dizel,Füme
380000,2006,189532,Duz,Benzin,Gri
680000,2022,105000,Duz,Benzin,Beyaz
1129000,2024,26000,Otomatik,Benzin,Mavi
310000,2005,290000,Duz,Dizel,Bej
885000,2019,138000,Otomatik,Dizel,Beyaz
920000,2020,29900,Otomatik,Benzin,Kırmızı
765000,2015,120000,Otomatik,Dizel,Beyaz
460000,2009,189000,Duz,Dizel,Gri
947000,2020,43000,Otomatik,Benzin,Turuncu
595000,2017,172000,Duz,Dizel,Beyaz
519000,2017,79000,Duz,LPG & Benzin,Gri
430000,2014,212358,Duz,Dizel,Beyaz
940000,2020,28604,Otomatik,Benzin,Turuncu
900000,2022,70919,Otomatik,Benzin,Beyaz
499000,2015,220000,Duz,LPG & Benzin,Beyaz
719900,2018,180000,Otomatik,Dizel,Beyaz
437000,2008,150000,Otomatik,Benzin,Kırmızı
629000,2013,147000,Duz,Benzin,Beyaz
265000,2005,219000,Duz,Dizel,Beyaz
650000,2014,118000,Yari Otomatik,Benzin,Kırmızı
939500,2020,65000,Otomatik,Benzin,Beyaz
395000,2007,235000,Duz,Dizel,Gri (metalik)
830000,2017,101000,Otomatik,Dizel,Kırmızı
859900,2021,95539,Otomatik,Benzin,Beyaz
685000,2020,91317,Duz,Benzin,Beyaz
745000,2019,120000,Duz,Dizel,Beyaz
710000,2017,125000,Otomatik,Dizel,Beyaz
345000,2011,272000,Duz,Dizel,Gri
714000,2023,50033,Duz,Benzin,Beyaz
680000,2019,90000,Duz,Benzin,Beyaz
889000,2022,80000,Otomatik,Benzin,Kırmızı
545000,2016,195000,Duz,Benzin,Kırmızı
599999,2014,254000,Duz,Dizel,Gri
827500,2016,84000,Otomatik,Dizel,Kırmızı
1049900,2023,11000,Otomatik,Benzin,Gri
497000,2010,152000,Duz,Dizel,Gri (metalik)
195000,1996,266400,Duz,LPG & Benzin,Bordo
722750,2019,25067,Duz,Benzin,Beyaz
830000,2019,8000,Duz,Benzin,Kırmızı
709950,2017,169000,Otomatik,Dizel,Beyaz
255000,2004,355000,Duz,Dizel,Gri (Gümüş)
550000,2014,235000,Yari Otomatik,Dizel,Beyaz
749999,2014,160000,Otomatik,Dizel,Kırmızı
305000,2005,232000,Duz,LPG & Benzin,Kırmızı
999000,2023,36900,Otomatik,Benzin,Mavi
520000,2013,215000,Duz,Benzin,Beyaz
349000,2004,229000,Duz,Dizel,Gri (Gümüş)
610000,2019,122909,Duz,Benzin,Beyaz
329000,2001,227000,Duz,LPG & Benzin,Beyaz
612000,2021,115000,Duz,Benzin,Beyaz
310000,2000,350000,Duz,Benzin,Gri (Gümüş)
269000,2006,201000,Duz,Dizel,Gri
399000,2005,123000,Duz,LPG & Benzin,Gri (Gümüş)
549950,2018,155000,Duz,Dizel,Beyaz
938000,2022,20000,Otomatik,Benzin,Beyaz
1050000,2022,11700,Otomatik,Benzin,Mavi (metalik)
765000,2017,164000,Duz,Dizel,Beyaz
390000,2005,141000,Duz,LPG & Benzin,Beyaz
745000,2014,165000,Yari Otomatik,Dizel,Kırmızı
488750,2013,215000,Duz,Dizel,Beyaz
180000,1997,193000,Duz,LPG & Benzin,Lacivert
809000,2023,50931,Duz,Benzin,Beyaz
340000,2007,246000,Duz,Dizel,Beyaz
645000,2019,81000,Duz,Benzin,Beyaz
850000,2016,13000,Yari Otomatik,Benzin,Beyaz
